,Response,Error,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website
9,True,,Ghost Taxi,1999,NOT RATED,01 Jun 1999,49 min,"Drama, Horror",Donald G. Jackson,"Donald G. Jackson (story), Donald G. Jackson, Scott Shaw","Scott Shaw, Joe Haggerty, Fred Olen Ray, Eric Brummer",Forty years ago Daredevil Dan Donovan was sent to the dark abyss. He has now been given one last chance to reenter the light. He must exchange his soul for the souls of thirteen other deserving candidates.,English,"USA, Canada",NaN,https://m.media-amazon.com/images/M/MV5BMjAwNTA2NDg1M15BMl5BanBnXkFtZTcwMDU4MjE5Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",NaN,4.2,14,tt0116408,movie,NaN,NaN,NaN,NaN
10,True,,Jimmy Zip,1999,R,07 Aug 1999,112 min,"Action, Crime, Drama",Robert McGinley,Robert McGinley,"Brendan Fletcher, Ike Gingrich, Rosemary Welden",An abused runaway with pyromaniac tendencies teams up with a metal sculptor. Together they blow away the art world and a local crime boss.,English,United States,1 win,https://m.media-amazon.com/images/M/MV5BMGVjYWE5MTAtMTY4ZS00OWVhLWJhNmQtYWY4ZTUzZjZiMTY5XkEyXkFqcGdeQXVyMjExMjI5NzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",NaN,5.2,181,tt0116703,movie,NaN,NaN,NaN,NaN
13,True,,Babel,1999,Unrated,07 Apr 1999,95 min,"Adventure, Family, Fantasy",Gérard Pullicino,"Vincent Lambert, Gérard Pullicino, Serge Richez","Mitchell David Rothpan, Maria de Medeiros, Tchéky Karyo","Babel tells the story of the Babels, a strange breed of four-foot-tall creatures who once coexisted happily with human beings on planet Earth. However, when the humans built a huge tower to taunt God, he became angry and drove the Ba",French,"France, Canada",1 nomination,https://m.media-amazon.com/images/M/MV5BNDU2YTk2ZTQtN2ZiZC00Mjk5LWJjZDctMGRkNzBmZjk0NWY0XkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.8/10'}]",NaN,3.8,196,tt0118664,movie,NaN,NaN,NaN,NaN
14,True,,Baby Geniuses,1999,PG,12 Mar 1999,97 min,"Comedy, Crime, Family",Bob Clark,"Steven Paul, Francisca Matos, Robert Grasmere","Kathleen Turner, Christopher Lloyd, Kim Cattrall","Scientists hold super intelligent talking babies captive, but things take a turn for the worse when a mix-up occurs between a baby genius and its twin.",English,United States,2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BZmRhMWVmOTQtNjUwMS00MzEwLWFkNWQtNWJlMTk3NDcyYzM1XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '2%'}, {'Source': 'Metacritic', 'Value': '6/100'}]",6,2.7,"26,076",tt0118665,movie,23 Mar 2004,"$27,250,736",NaN,NaN
15,True,,Glória,1999,NaN,03 Nov 1999,100 min,Drama,Manuela Viegas,"Manuela Viegas, Joaquim Sapinho","Jean-Christophe Bouvet, Raquel Marques, Francisco Relvas","Ivan goes to live with his father, Vicente, the stationmaster, in a small remote village inland Portugal. People go about their chores, each wrapped in their own life. Gloria lives with a career and seems to be slipping away from eve",Portuguese,"Portugal, France, Spain",1 nomination,https://m.media-amazon.com/images/M/MV5BMTQ1NDM3OTUyNl5BMl5BanBnXkFtZTcwMTg5NDgzNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",NaN,5.9,198,tt0118777,movie,NaN,NaN,NaN,NaN
16,True,,Armageddon Boulevard,1999,Not Rated,02 Mar 1999,90 min,Action,"Donald G. Jackson, Scott Shaw","Donald G. Jackson (screenplay), Donald G. Jackson (story), Scott Shaw (screenplay)","Scott Shaw, Julie Strain, Kevin Eastman, Conrad Brooks",NaN,English,USA,NaN,https://m.media-amazon.com/images/M/MV5BMTI3NTk4OTU5N15BMl5BanBnXkFtZTcwMjM5MDMyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",NaN,5.7,31,tt0118853,movie,NaN,NaN,NaN,NaN
17,True,,Do You Wanna Dance?,1999,NaN,01 May 1999,104 min,"Comedy, Romance",Michael A. Nickles,Robert Krantz,"Robert Krantz, Robert Costanzo, Patricia Skeriotis","Billy Duncan, a dance instructor, has fallen on hard times and is sentenced to community service time. His assignment? To give dance lessons to elderly parishioners at a local Greek church. Reluctant at first, Billy soon finds himsel",English,United States,2 wins,https://m.media-amazon.com/images/M/MV5BYTM0OGNjNGYtZDc5ZC00ZWMwLTg5NDQtNDAzYjE3ZjZiMDIwXkEyXkFqcGdeQXVyMzI2MzMzMA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",NaN,6.0,109,tt0118994,movie,NaN,"$3,210",NaN,NaN
18,True,,18 Shades of Dust,1999,R,21 Dec 1999,95 min,"Crime, Drama",Danny Aiello III,"John Cenatiempo, Michael Hogan","Danny Aiello, William Forsythe, Jessica DiCicco",Two gangsters threaten the owner of an upscale restaurant after his son can't pay a gambling debt.,English,United States,NaN,https://m.media-amazon.com/images/M/MV5BMTIxMjg3OTI3OV5BMl5BanBnXkFtZTcwMTU3OTkyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",NaN,4.7,153,tt0119028,movie,29 Aug 2000,NaN,NaN,NaN
19,True,,Onegin,1999,R,19 Nov 1999,106 min,"Drama, Romance",Martha Fiennes,"Peter Ettedgui, Alexander Pushkin, Michael Ignatieff","Ralph Fiennes, Liv Tyler, Toby Stephens","Russia, 1820s: Onegin inherits his uncle's country estate and moves there from St. Petersburg. He befriends his neighbor, Lensky, and meets Tatyana through him. She falls in love with Onegin but he just wants friendship.","English, French","United Kingdom, United States",3 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMDk3NjE3Y2YtZjM2MC00MTk2LWJhNzItZDk3NTBlZjliYzcxXkEyXkFqcGdeQXVyMTgxOTIzNzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.8,"7,751",tt0119079,movie,NaN,"$206,128",NaN,NaN
20,True,,Full Blast,1999,NaN,25 Oct 1999,91 min,"Action, Thriller",Eric Mintz,Eric Mintz,"Mike Abbo, Paul Barch, Richard K. Berlinberg","Maceo is the manager of Motown's most popular club, the Motorfly. Business is going well, but Maceo has huge game debts that entrap him in the loops of the Detroit Mafia net.",English,United States,NaN,https://m.media-amazon.com/images/M/MV5BYWY1Nzk1Y2UtNTRmNS00ZWUzLWFhYjMtYjQzYWJmODM3ZDQzXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",NaN,6.0,58,tt0119163,movie,NaN,NaN,NaN,NaN
